image_path,rel_path,cow_id,label,frame_id,sha256
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000001.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000001.jpg,1,0,1,5f13d457269872b0feee3681741eae14e10015d116e5ecd5bda45fb2033ddf51
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000002.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000002.jpg,1,0,2,6a5d99b32154e946fc34b564fc6f61d54de57444b1a01efc7ecbae9f8eeeaf49
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000003.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000003.jpg,1,0,3,3b2d2bf063ae72df76ee3c2759e17a253873a28ebb68eecee91ea739fc9376b4
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000004.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000004.jpg,1,0,4,3bce31b7c5da6b01830446047185f8b684e6c5234bfb7eb7d1764227497a20b3
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000005.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000005.jpg,1,0,5,191e57a37ca5df4f484b1a00da8f4dae47948dab8c913b7839057603d15eecd5
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000006.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000006.jpg,1,0,6,a4020add70c704b99f0dc7dd059d49d1cc78a7b2784210bff1c436e09d761ded
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000007.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000007.jpg,1,0,7,489b0e2d94bf66f4afcce1dc1e23fe7e0bd325201c95b0dbb2c0e33626c8eda4
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000008.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000008.jpg,1,0,8,f9a78d34799bf79995f7c86cece0752cc67d3313293076b3e49f4c2d05ce47bd
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000009.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000009.jpg,1,0,9,1f77d858004df01928059970dae02ab3727fa506513abaf226bd4dec5e75d904
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000010.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000010.jpg,1,0,10,7e05edd649d60fde96bdbc1e5c21d40bc334f3f3cf7fb39b55db2ed8965e9117
