image_path,filename,class_id,bcs_score,session_id,session_tag,cow_id,cow_number,frame_number,file_size_bytes,sha256
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/0_DGE.tif,0_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,0,150800,6dcb3d0f3f37b0f8314da5f99b84c8ee0b64510f4b45f0a8bc4ee5f60abc52c9
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/1_DGE.tif,1_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,1,150800,dff7b5aab6a51ec285a12990391a36d45ce780c6aafa9c9623ca5a57122181e2
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/2_DGE.tif,2_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,2,150800,35fd7e665879b0e939479a483386520b0b022fd686e4edf57934426ec6ed6a3a
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/3_DGE.tif,3_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,3,150800,b620a8ba64461ce0057d793904f1ec90a124a6c1e63c0824fc46b4464661da73
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/4_DGE.tif,4_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,4,150800,9483301154b998e4d93aec4090e685d12ec640014a5abe0a6d34cdb29fc7595a
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/5_DGE.tif,5_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,5,150800,f0c71cd1cfa51667ece383c6ac2be70068f2346b230424b93ac2f6d4cbd8ea5a
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/6_DGE.tif,6_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,6,150800,3f2c0d59551c062055ade73cddb8b40805d023dcd395a3850f68d23fb5352c46
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/7_DGE.tif,7_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,7,150800,1b7816adf8966e844c0a134ee24a486ff6dd9659931fd9813c0428f1bacb0d73
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/8_DGE.tif,8_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,8,150800,5fc9fbe07096ca76135ba8bba47eefe6efda1e32a4e2fc55644d5e05b6b0af8b
datasets/bcs/dryad_bcs/Total_sorted_DGE_images/2/Cow_5/9_DGE.tif,9_DGE.tif,2,2.0,Cow_5,main,Cow_5,5,9,150800,3c392c8b7b0639fe573d947f563d6bee6e25d4fc55e246b54967febda2e150ed
