image_path,class_id,class_name,cow_id,camera_id,timestamp_epoch,split
datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690271846_02-57-26_1_1.jpg,4,Feeding_head_down,1,1,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690271846_02-57-26_1_2.jpg,4,Feeding_head_down,1,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690271846_02-57-26_1_3.jpg,4,Feeding_head_down,1,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690271846_02-57-26_1_4.jpg,4,Feeding_head_down,1,4,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_3_3.jpg,7,Lying,3,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_4_2.jpg,7,Lying,4,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_4_3.jpg,7,Lying,4,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_4_4.jpg,7,Lying,4,4,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_6_2.jpg,7,Lying,6,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_6_3.jpg,7,Lying,6,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_8_2.jpg,7,Lying,8,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690271846_02-57-26_9_1.jpg,2,Standing,9,1,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690271846_02-57-26_9_2.jpg,2,Standing,9,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690271846_02-57-26_9_3.jpg,2,Standing,9,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690271846_02-57-26_9_4.jpg,2,Standing,9,4,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_10_2.jpg,7,Lying,10,2,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_10_3.jpg,7,Lying,10,3,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690271846_02-57-26_10_4.jpg,7,Lying,10,4,1690271846,train
datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690271846_02-57-26_12_1.jpg,2,Standing,12,1,1690271846,train
